time,tr_close,tr_online,tr_auth_plain,page,tr_offline,tr_authenticate,tr_roster 
30,0.784912109375,0.666015625,1.7537434895833333,4501.686730957032,,1.971337890625,1.25380859375 
40,0.79425048828125,0.767578125,2.6667073567708335,16252.774953206377,,2.5505859375,1.390625 
50,0.909271240234375,0.74688720703125,1.8260498046875,18002.47784423828,,1.549072265625,1.054931640625 
60,0.6937255859375,0.69775390625,0,20627.37547302246,0.802978515625,1.5799153645833333,1.37176513671875 
70,0.6865641276041666,0.80859375,0,20627.617767333984,0.80595703125,0,0 
80,0.779052734375,0.7431640625,0,12858.962297712054,0.859130859375,0,0 
90,0.8349609375,0.82073974609375,0,12001.437084960937,0.74697265625,0,0 
100,0.71572265625,0,0,0.607177734375,0.84443359375,0,0 
110,0.75653076171875,0,0,0.608251953125,0.781982421875,0,0 
120,0.70859375,0,0,0.6025933159722222,0.781005859375,0,0 
130,0.82021484375,0,0,0.65458984375,0,0,0 
140,0.8291015625,0,0,0.64013671875,0,0,0 
149,0.766845703125,0,0,0.63775634765625,0,0,0 
